# DeFault:  java -jar default-1.0.0.jar testfiles/incomplete/garland.pddl testfiles/incomplete/garlandprob1.pddl dan.out  pode2 anytime strict 5
domain,problem,plan_id,plan_length,plan_robustness,total_time
satellite.pddl.0p_0a_3d.0,pfile3,1,11,0.125,0.316
satellite.pddl.0p_0a_3d.0,pfile4,1,21,0.00195312,0.477
satellite.pddl.0p_0a_3d.0,pfile5,1,18,0.015625,1.069
satellite.pddl.0p_0a_3d.0,pfile6,1,19,0.0078125,1.069
satellite.pddl.0p_0a_3d.0,pfile7,1,24,0.00390625,1.975
satellite.pddl.0p_0a_3d.0,pfile8,1,27,0.000488281,2.637
satellite.pddl.0p_0a_3d.0,pfile9,1,33,6.10352e-05,4.136
satellite.pddl.0p_0a_3d.0,pfile10,1,32,0.00012207,3.822
satellite.pddl.0p_0a_4d.0,pfile1,1,8,0.25,0.177
satellite.pddl.0p_0a_4d.0,pfile1,2,9,0.5,2.349
satellite.pddl.0p_0a_4d.0,pfile1,3,18,1,2.415
satellite.pddl.0p_0a_4d.0,pfile2,1,12,0.03125,0.232
satellite.pddl.0p_0a_4d.0,pfile3,1,11,0.125,0.318
satellite.pddl.0p_0a_4d.0,pfile4,1,21,0.0078125,0.448
satellite.pddl.0p_0a_4d.0,pfile5,1,17,0.0625,1.282
satellite.pddl.0p_0a_4d.0,pfile6,1,18,0.0078125,0.91
satellite.pddl.0p_0a_4d.0,pfile7,1,25,0.0078125,1.921
satellite.pddl.0p_0a_4d.0,pfile8,1,25,0.000976562,2.161
satellite.pddl.0p_0a_4d.0,pfile9,1,28,0.000244141,2.847
satellite.pddl.0p_0a_4d.0,pfile10,1,32,0.000976562,2.719
satellite.pddl.0p_0a_5d.0,pfile1,1,8,0.125,0.175
satellite.pddl.0p_0a_5d.0,pfile1,2,46,0.25,3.682
satellite.pddl.0p_0a_5d.0,pfile1,3,45,0.5,6.255
satellite.pddl.0p_0a_5d.0,pfile1,4,39,1,7.943
satellite.pddl.0p_0a_5d.0,pfile2,1,12,0.03125,0.239
satellite.pddl.0p_0a_5d.0,pfile3,1,11,0.125,0.3
satellite.pddl.0p_0a_5d.0,pfile4,1,19,0.0078125,0.428
satellite.pddl.0p_0a_5d.0,pfile5,1,15,0.015625,0.575
satellite.pddl.0p_0a_5d.0,pfile6,1,18,0.015625,0.513
satellite.pddl.0p_0a_5d.0,pfile7,1,24,0.00195312,2.246
satellite.pddl.0p_0a_5d.0,pfile8,1,24,0.00390625,2.001
satellite.pddl.0p_0a_5d.0,pfile9,1,29,0.000244141,1.912
satellite.pddl.0p_0a_5d.0,pfile10,1,33,6.10352e-05,2.665
satellite.pddl.0p_1a_0d.0,pfile1,1,9,0.5,0.197
satellite.pddl.0p_1a_0d.0,pfile2,1,21,0.5,0.338
satellite.pddl.0p_1a_0d.0,pfile3,1,14,0.5,0.346
satellite.pddl.0p_1a_0d.0,pfile4,1,21,0.5,0.585
satellite.pddl.0p_1a_0d.0,pfile5,1,23,0.5,0.773
satellite.pddl.0p_1a_0d.0,pfile6,1,24,0.25,0.789
satellite.pddl.0p_1a_0d.0,pfile7,1,27,0.25,1.92
satellite.pddl.0p_1a_0d.0,pfile8,1,32,0.125,2.628
satellite.pddl.0p_1a_0d.0,pfile9,1,43,0.125,4.076
satellite.pddl.0p_1a_0d.0,pfile10,1,37,0.125,3.885
satellite.pddl.0p_1a_1d.0,pfile1,1,9,0.5,0.181
satellite.pddl.0p_1a_1d.0,pfile2,1,16,0.5,0.284
satellite.pddl.0p_1a_1d.0,pfile3,1,15,0.5,0.361
satellite.pddl.0p_1a_1d.0,pfile4,1,22,0.25,0.549
satellite.pddl.0p_1a_1d.0,pfile5,1,23,0.5,1.461
satellite.pddl.0p_1a_1d.0,pfile6,1,21,0.25,1.416
satellite.pddl.0p_1a_1d.0,pfile7,1,30,0.125,2.651
satellite.pddl.0p_1a_1d.0,pfile7,2,260,0.25,22.462
satellite.pddl.0p_1a_1d.0,pfile8,1,32,0.25,4.147
satellite.pddl.0p_1a_1d.0,pfile9,1,39,0.125,4.976
satellite.pddl.0p_1a_1d.0,pfile10,1,39,0.125,5.389
satellite.pddl.0p_1a_2d.0,pfile1,1,8,0.015625,0.176
satellite.pddl.0p_1a_2d.0,pfile1,2,142,0.000579357,3.961
satellite.pddl.0p_1a_2d.0,pfile1,3,26,0.00360489,6.706
satellite.pddl.0p_1a_2d.0,pfile1,4,24,0.008111,7.103
satellite.pddl.0p_1a_2d.0,pfile1,5,51,0.00424862,9.093
satellite.pddl.0p_1a_2d.0,pfile2,1,12,0.000976562,0.239
satellite.pddl.0p_1a_2d.0,pfile3,1,11,0.00195312,0.288
satellite.pddl.0p_1a_2d.0,pfile4,1,17,6.10352e-05,0.47
satellite.pddl.0p_1a_2d.0,pfile5,1,18,1.52588e-05,0.653
satellite.pddl.0p_1a_2d.0,pfile6,1,18,6.10352e-05,0.559
satellite.pddl.0p_1a_2d.0,pfile7,1,23,3.05176e-05,0.963
satellite.pddl.0p_1a_2d.0,pfile8,1,29,1.19209e-07,1.946
satellite.pddl.0p_1a_2d.0,pfile9,1,28,1.19209e-07,2.295
satellite.pddl.0p_1a_2d.0,pfile10,1,32,7.45058e-09,3.036
satellite.pddl.0p_1a_3d.0,pfile1,1,9,0.0625,0.194
satellite.pddl.0p_1a_3d.0,pfile2,1,13,0.015625,0.263
satellite.pddl.0p_1a_3d.0,pfile3,1,12,0.015625,0.307
satellite.pddl.0p_1a_3d.0,pfile4,1,24,0.00012207,0.589
satellite.pddl.0p_1a_3d.0,pfile5,1,19,0.000488281,0.655
satellite.pddl.0p_1a_3d.0,pfile6,1,24,0.000244141,1.007
satellite.pddl.0p_1a_3d.0,pfile7,1,30,3.8147e-06,2.211
satellite.pddl.0p_1a_3d.0,pfile8,1,32,7.62939e-06,2.61
satellite.pddl.0p_1a_3d.0,pfile9,1,37,2.38419e-07,4.426
satellite.pddl.0p_1a_3d.0,pfile10,1,44,1.49012e-08,5.918
satellite.pddl.0p_1a_4d.0,pfile1,1,8,0.0625,0.182
satellite.pddl.0p_1a_4d.0,pfile1,2,13,0.125,1.181
satellite.pddl.0p_1a_4d.0,pfile1,3,12,0.25,2.2
satellite.pddl.0p_1a_4d.0,pfile1,4,17,0.5,12.793
satellite.pddl.0p_1a_4d.0,pfile2,1,12,0.015625,0.23
satellite.pddl.0p_1a_4d.0,pfile3,1,13,0.03125,0.347
satellite.pddl.0p_1a_4d.0,pfile4,1,21,0.00195312,0.445
satellite.pddl.0p_1a_4d.0,pfile5,1,17,0.015625,1.206
satellite.pddl.0p_1a_4d.0,pfile6,1,18,0.000976562,0.957
satellite.pddl.0p_1a_4d.0,pfile7,1,23,0.000976562,1.731
satellite.pddl.0p_1a_4d.0,pfile8,1,25,0.000488281,2.081
satellite.pddl.0p_1a_4d.0,pfile9,1,31,0.00012207,3.307
satellite.pddl.0p_1a_4d.0,pfile10,1,31,0.00012207,3.017
satellite.pddl.0p_1a_5d.0,pfile1,1,8,0.0078125,0.195
satellite.pddl.0p_1a_5d.0,pfile1,2,9,0.015625,2.815
satellite.pddl.0p_1a_5d.0,pfile1,3,8,0.03125,3.919
satellite.pddl.0p_1a_5d.0,pfile1,4,42,0.00128997,161.059
satellite.pddl.0p_1a_5d.0,pfile1,5,37,0.0018986,402.689
satellite.pddl.0p_1a_5d.0,pfile2,1,13,0.000244141,0.258
satellite.pddl.0p_1a_5d.0,pfile3,1,12,0.000976562,0.334
satellite.pddl.0p_1a_5d.0,pfile4,1,20,3.8147e-06,0.465
satellite.pddl.0p_1a_5d.0,pfile5,1,20,3.8147e-06,1.922
satellite.pddl.0p_1a_5d.0,pfile6,1,18,1.52588e-05,0.996
satellite.pddl.0p_1a_5d.0,pfile7,1,23,4.76837e-07,1.995
satellite.pddl.0p_1a_5d.0,pfile8,1,30,7.45058e-09,2.526
satellite.pddl.0p_1a_5d.0,pfile9,1,28,2.98023e-08,2.763
satellite.pddl.0p_1a_5d.0,pfile10,1,32,7.45058e-09,3.887
satellite.pddl.0p_2a_0d.0,pfile1,1,9,0.125,0.202
satellite.pddl.0p_2a_0d.0,pfile2,1,20,0.015625,0.303
satellite.pddl.0p_2a_0d.0,pfile3,1,14,0.0625,0.358
satellite.pddl.0p_2a_0d.0,pfile4,1,21,0.0078125,0.605
satellite.pddl.0p_2a_0d.0,pfile5,1,23,0.015625,0.758
satellite.pddl.0p_2a_0d.0,pfile6,1,21,0.0078125,0.778
satellite.pddl.0p_2a_0d.0,pfile7,1,26,0.0078125,2.202
satellite.pddl.0p_2a_0d.0,pfile8,1,31,0.000976562,2.071
satellite.pddl.0p_2a_0d.0,pfile9,1,36,0.000976562,3.83
satellite.pddl.0p_2a_0d.0,pfile10,1,43,0.000488281,5.289
satellite.pddl.0p_2a_1d.0,pfile1,1,9,0.5,0.209
satellite.pddl.0p_2a_1d.0,pfile2,1,14,0.5,0.256
satellite.pddl.0p_2a_1d.0,pfile3,1,11,0.5,0.327
satellite.pddl.0p_2a_1d.0,pfile4,1,19,0.5,0.523
satellite.pddl.0p_2a_1d.0,pfile5,1,19,0.5,1.865
satellite.pddl.0p_2a_1d.0,pfile6,1,25,0.125,1.369
satellite.pddl.0p_2a_1d.0,pfile7,1,25,0.25,2.451
satellite.pddl.0p_2a_1d.0,pfile8,1,28,0.25,2.45
satellite.pddl.0p_2a_1d.0,pfile9,1,31,0.25,4.409
satellite.pddl.0p_2a_1d.0,pfile10,1,35,0.25,4.871
satellite.pddl.0p_2a_2d.0,pfile1,1,8,0.03125,0.182
satellite.pddl.0p_2a_2d.0,pfile1,2,13,0.0625,1.159
satellite.pddl.0p_2a_2d.0,pfile1,3,10,0.125,2.899
satellite.pddl.0p_2a_2d.0,pfile1,4,24,0.25,170.958
satellite.pddl.0p_2a_2d.0,pfile2,1,12,0.0078125,0.653
satellite.pddl.0p_2a_2d.0,pfile3,1,11,0.0625,0.318
satellite.pddl.0p_2a_2d.0,pfile4,1,21,0.00195312,0.453
satellite.pddl.0p_2a_2d.0,pfile5,1,17,0.00390625,1.205
satellite.pddl.0p_2a_2d.0,pfile6,1,19,0.000488281,0.891
satellite.pddl.0p_2a_2d.0,pfile7,1,24,0.000244141,1.798
satellite.pddl.0p_2a_2d.0,pfile8,1,25,0.00012207,1.843
satellite.pddl.0p_2a_2d.0,pfile9,1,32,1.52588e-05,3.437
satellite.pddl.0p_2a_2d.0,pfile10,1,31,3.05176e-05,3.537
satellite.pddl.0p_2a_3d.0,pfile1,1,8,0.0078125,0.195
satellite.pddl.0p_2a_3d.0,pfile2,1,15,3.05176e-05,0.258
satellite.pddl.0p_2a_3d.0,pfile3,1,11,0.000976562,0.291
satellite.pddl.0p_2a_3d.0,pfile4,1,19,1.52588e-05,0.421
satellite.pddl.0p_2a_3d.0,pfile5,1,18,7.62939e-06,0.598
satellite.pddl.0p_2a_3d.0,pfile6,1,18,1.52588e-05,0.553
satellite.pddl.0p_2a_3d.0,pfile7,1,24,1.19209e-07,1.266
satellite.pddl.0p_2a_3d.0,pfile8,1,25,4.76837e-07,1.401
satellite.pddl.0p_2a_3d.0,pfile9,1,30,7.45058e-09,2.952
satellite.pddl.0p_2a_3d.0,pfile10,1,34,1.86265e-09,2.99
satellite.pddl.0p_2a_4d.0,pfile1,1,8,0.015625,0.197
satellite.pddl.0p_2a_4d.0,pfile1,2,13,0.03125,1.513
satellite.pddl.0p_2a_4d.0,pfile1,3,10,0.0625,3.211
satellite.pddl.0p_2a_4d.0,pfile2,1,12,0.00390625,0.251
satellite.pddl.0p_2a_4d.0,pfile3,1,12,0.00390625,0.323
satellite.pddl.0p_2a_4d.0,pfile4,1,18,0.000976562,0.426
satellite.pddl.0p_2a_4d.0,pfile5,1,16,0.00390625,1.096
satellite.pddl.0p_2a_4d.0,pfile6,1,19,0.00012207,0.943
satellite.pddl.0p_2a_4d.0,pfile7,1,25,1.52588e-05,1.932
satellite.pddl.0p_2a_4d.0,pfile8,1,28,3.8147e-06,2.471
satellite.pddl.0p_2a_4d.0,pfile9,1,29,7.62939e-06,4.266
satellite.pddl.0p_2a_4d.0,pfile10,1,31,7.62939e-06,3.749
satellite.pddl.0p_2a_5d.0,pfile1,1,8,0.0625,0.191
satellite.pddl.0p_2a_5d.0,pfile2,1,12,0.015625,0.238
satellite.pddl.0p_2a_5d.0,pfile3,1,11,0.0625,0.295
satellite.pddl.0p_2a_5d.0,pfile4,1,19,0.00195312,0.415
satellite.pddl.0p_2a_5d.0,pfile5,1,15,0.0078125,0.568
satellite.pddl.0p_2a_5d.0,pfile6,1,18,0.00390625,0.558
satellite.pddl.0p_2a_5d.0,pfile7,1,24,0.000976562,1.49
satellite.pddl.0p_2a_5d.0,pfile8,1,24,0.000976562,1.354
satellite.pddl.0p_2a_5d.0,pfile9,1,29,0.00012207,1.995
satellite.pddl.0p_2a_5d.0,pfile10,1,33,3.8147e-06,2.901
satellite.pddl.0p_3a_0d.0,pfile1,1,9,0.0078125,0.198
satellite.pddl.0p_3a_0d.0,pfile2,1,19,3.05176e-05,0.331
satellite.pddl.0p_3a_0d.0,pfile3,1,12,0.000976562,0.322
satellite.pddl.0p_3a_0d.0,pfile4,1,26,9.53674e-07,0.748
satellite.pddl.0p_3a_0d.0,pfile5,1,19,7.62939e-06,0.745
satellite.pddl.0p_3a_0d.0,pfile6,1,22,3.8147e-06,0.822
satellite.pddl.0p_3a_0d.0,pfile7,1,36,1.86265e-09,2.615
satellite.pddl.0p_3a_0d.0,pfile8,1,33,3.72529e-09,3.052
satellite.pddl.0p_3a_0d.0,pfile9,1,34,3.72529e-09,3.515
satellite.pddl.0p_3a_0d.0,pfile10,1,40,1.16415e-10,5.126
satellite.pddl.0p_3a_1d.0,pfile1,1,8,0.00195312,0.196
satellite.pddl.0p_3a_1d.0,pfile2,1,12,3.05176e-05,0.239
satellite.pddl.0p_3a_1d.0,pfile3,1,11,0.00012207,0.289
satellite.pddl.0p_3a_1d.0,pfile4,1,17,2.38419e-07,0.441
satellite.pddl.0p_3a_1d.0,pfile5,1,18,2.38419e-07,0.59
satellite.pddl.0p_3a_1d.0,pfile6,1,18,4.76837e-07,0.622
satellite.pddl.0p_3a_1d.0,pfile7,1,23,2.38419e-07,1.126
satellite.pddl.0p_3a_1d.0,pfile8,1,29,1.16415e-10,2.278
satellite.pddl.0p_3a_1d.0,pfile9,1,28,1.16415e-10,2.708
satellite.pddl.0p_3a_1d.0,pfile10,1,32,3.63798e-12,2.968
satellite.pddl.0p_3a_2d.0,pfile1,1,9,0.015625,0.201
satellite.pddl.0p_3a_2d.0,pfile2,1,14,0.00390625,0.268
satellite.pddl.0p_3a_2d.0,pfile3,1,14,0.000976562,0.396
satellite.pddl.0p_3a_2d.0,pfile4,1,25,3.8147e-06,0.619
satellite.pddl.0p_3a_2d.0,pfile5,1,22,1.52588e-05,1.378
satellite.pddl.0p_3a_2d.0,pfile6,1,22,1.52588e-05,1.251
satellite.pddl.0p_3a_2d.0,pfile7,1,27,9.53674e-07,2.387
satellite.pddl.0p_3a_2d.0,pfile8,1,33,4.76837e-07,3.86
satellite.pddl.0p_3a_2d.0,pfile9,1,40,2.98023e-08,5.43
satellite.pddl.0p_3a_2d.0,pfile10,1,35,1.19209e-07,4.801
satellite.pddl.0p_3a_3d.0,pfile1,1,8,0.015625,0.177
satellite.pddl.0p_3a_3d.0,pfile2,1,12,0.000488281,0.233
satellite.pddl.0p_3a_3d.0,pfile3,1,11,0.00390625,0.3
satellite.pddl.0p_3a_3d.0,pfile4,1,19,1.52588e-05,0.431
satellite.pddl.0p_3a_3d.0,pfile5,1,15,0.00012207,0.59
satellite.pddl.0p_3a_3d.0,pfile6,1,18,3.05176e-05,0.547
satellite.pddl.0p_3a_3d.0,pfile7,1,24,7.62939e-06,1.257
satellite.pddl.0p_3a_3d.0,pfile8,1,24,9.53674e-07,2.301
satellite.pddl.0p_3a_3d.0,pfile9,1,29,2.38419e-07,3.106
satellite.pddl.0p_3a_3d.0,pfile10,1,33,9.31323e-10,2.503
satellite.pddl.0p_3a_4d.0,pfile1,1,8,0.000488281,0.192
satellite.pddl.0p_3a_4d.0,pfile1,2,8,0.000976562,0.358
satellite.pddl.0p_3a_4d.0,pfile1,3,8,0.00195312,8.584
satellite.pddl.0p_3a_4d.0,pfile2,1,12,7.62939e-06,0.245
satellite.pddl.0p_3a_4d.0,pfile3,1,12,3.05176e-05,0.358
satellite.pddl.0p_3a_4d.0,pfile4,1,19,2.98023e-08,0.444
satellite.pddl.0p_3a_4d.0,pfile5,1,19,1.49012e-08,1.129
satellite.pddl.0p_3a_4d.0,pfile6,1,18,2.98023e-08,1.074
satellite.pddl.0p_3a_4d.0,pfile7,1,24,2.32831e-10,2.177
satellite.pddl.0p_3a_4d.0,pfile8,1,25,5.82077e-11,2.116
satellite.pddl.0p_3a_4d.0,pfile9,1,31,9.09495e-13,4.142
satellite.pddl.0p_3a_4d.0,pfile10,1,33,2.27374e-13,3.283
satellite.pddl.0p_3a_5d.0,pfile1,1,8,0.00390625,0.196
satellite.pddl.0p_3a_5d.0,pfile1,2,12,0.0078125,1.845
satellite.pddl.0p_3a_5d.0,pfile1,3,10,0.015625,5.405
satellite.pddl.0p_3a_5d.0,pfile2,1,12,0.000244141,0.241
satellite.pddl.0p_3a_5d.0,pfile3,1,12,0.000488281,0.321
satellite.pddl.0p_3a_5d.0,pfile4,1,20,3.8147e-06,0.442
satellite.pddl.0p_3a_5d.0,pfile5,1,17,6.10352e-05,1.495
satellite.pddl.0p_3a_5d.0,pfile6,1,18,3.05176e-05,1.225
satellite.pddl.0p_3a_5d.0,pfile7,1,22,3.8147e-06,1.793
satellite.pddl.0p_3a_5d.0,pfile8,1,29,2.98023e-08,2.51
satellite.pddl.0p_3a_5d.0,pfile9,1,34,7.45058e-09,4.655
satellite.pddl.0p_3a_5d.0,pfile10,1,31,7.45058e-09,3.329
satellite.pddl.0p_4a_0d.0,pfile1,1,9,0.015625,0.191
satellite.pddl.0p_4a_0d.0,pfile2,1,19,0.00012207,0.331
satellite.pddl.0p_4a_0d.0,pfile3,1,12,0.00390625,0.31
satellite.pddl.0p_4a_0d.0,pfile4,1,22,3.05176e-05,0.635
satellite.pddl.0p_4a_0d.0,pfile5,1,20,0.00012207,0.794
satellite.pddl.0p_4a_0d.0,pfile6,1,22,3.05176e-05,0.866
satellite.pddl.0p_4a_0d.0,pfile7,1,30,1.19209e-07,1.876
satellite.pddl.0p_4a_0d.0,pfile8,1,30,1.90735e-06,2.803
satellite.pddl.0p_4a_0d.0,pfile9,1,35,2.98023e-08,4.038
satellite.pddl.0p_4a_0d.0,pfile10,1,41,7.45058e-09,4.921
satellite.pddl.0p_4a_1d.0,pfile1,1,9,0.00390625,0.217
satellite.pddl.0p_4a_1d.0,pfile2,1,17,6.10352e-05,0.272
satellite.pddl.0p_4a_1d.0,pfile3,1,12,0.000488281,0.309
satellite.pddl.0p_4a_1d.0,pfile4,1,25,2.38419e-07,0.722
satellite.pddl.0p_4a_1d.0,pfile5,1,21,9.53674e-07,0.735
satellite.pddl.0p_4a_1d.0,pfile6,1,22,9.53674e-07,0.839
satellite.pddl.0p_4a_1d.0,pfile7,1,38,5.82077e-11,3.033
satellite.pddl.0p_4a_1d.0,pfile8,1,32,1.86265e-09,2.393
satellite.pddl.0p_4a_1d.0,pfile9,1,36,2.32831e-10,3.342
satellite.pddl.0p_4a_1d.0,pfile10,1,39,1.16415e-10,4.392
satellite.pddl.0p_4a_2d.0,pfile1,1,8,0.000488281,0.188
satellite.pddl.0p_4a_2d.0,pfile1,2,8,0.000976562,0.344
satellite.pddl.0p_4a_2d.0,pfile1,3,9,0.00195312,9.615
satellite.pddl.0p_4a_2d.0,pfile2,1,13,3.8147e-06,0.285
satellite.pddl.0p_4a_2d.0,pfile3,1,11,6.10352e-05,0.33
satellite.pddl.0p_4a_2d.0,pfile4,1,17,4.76837e-07,0.449
satellite.pddl.0p_4a_2d.0,pfile5,1,20,2.98023e-08,1.22
satellite.pddl.0p_4a_2d.0,pfile6,1,19,5.96046e-08,1.679
satellite.pddl.0p_4a_2d.0,pfile7,1,24,9.31323e-10,2.034
satellite.pddl.0p_4a_2d.0,pfile8,1,27,2.91038e-11,1.988
satellite.pddl.0p_4a_2d.0,pfile9,1,29,7.27596e-12,4.048
satellite.pddl.0p_4a_2d.0,pfile10,1,33,2.27374e-13,3.829
satellite.pddl.0p_4a_3d.0,pfile1,1,9,0.00195312,0.218
satellite.pddl.0p_4a_3d.0,pfile2,1,18,1.90735e-06,0.309
satellite.pddl.0p_4a_3d.0,pfile3,1,14,0.00012207,0.382
satellite.pddl.0p_4a_3d.0,pfile4,1,21,1.90735e-06,0.571
satellite.pddl.0p_4a_3d.0,pfile5,1,18,3.8147e-06,1.684
satellite.pddl.0p_4a_3d.0,pfile6,1,24,5.96046e-08,2.46
satellite.pddl.0p_4a_3d.0,pfile7,1,30,1.86265e-09,2.614
satellite.pddl.0p_4a_3d.0,pfile8,1,29,3.72529e-09,3.702
satellite.pddl.0p_4a_3d.0,pfile9,1,33,2.32831e-10,4.028
satellite.pddl.0p_4a_3d.0,pfile10,1,41,1.81899e-12,5.301
satellite.pddl.0p_4a_4d.0,pfile1,1,8,0.00195312,0.182
satellite.pddl.0p_4a_4d.0,pfile1,2,14,0.00390625,2.892
satellite.pddl.0p_4a_4d.0,pfile1,3,9,0.0078125,10.338
satellite.pddl.0p_4a_4d.0,pfile2,1,12,0.00012207,0.241
satellite.pddl.0p_4a_4d.0,pfile3,1,11,0.000976562,0.318
satellite.pddl.0p_4a_4d.0,pfile4,1,21,1.90735e-06,0.461
satellite.pddl.0p_4a_4d.0,pfile5,1,18,3.8147e-06,1.494
satellite.pddl.0p_4a_4d.0,pfile6,1,18,1.90735e-06,1.224
satellite.pddl.0p_4a_4d.0,pfile7,1,24,1.19209e-07,1.885
satellite.pddl.0p_4a_4d.0,pfile8,1,25,1.49012e-08,2.542
satellite.pddl.0p_4a_4d.0,pfile9,1,28,7.45058e-09,3.207
satellite.pddl.0p_4a_4d.0,pfile10,1,33,3.72529e-09,3.554
satellite.pddl.0p_4a_5d.0,pfile1,1,8,0.000244141,0.181
satellite.pddl.0p_4a_5d.0,pfile1,2,8,0.000488281,0.343
satellite.pddl.0p_4a_5d.0,pfile1,3,8,0.000976562,8.502
satellite.pddl.0p_4a_5d.0,pfile2,1,13,1.90735e-06,0.246
satellite.pddl.0p_4a_5d.0,pfile3,1,12,7.62939e-06,0.327
satellite.pddl.0p_4a_5d.0,pfile4,1,17,2.98023e-08,0.443
satellite.pddl.0p_4a_5d.0,pfile5,1,16,1.19209e-07,1.513
satellite.pddl.0p_4a_5d.0,pfile6,1,18,7.45058e-09,1.109
satellite.pddl.0p_4a_5d.0,pfile7,1,23,2.32831e-10,1.754
satellite.pddl.0p_4a_5d.0,pfile8,1,26,7.27596e-12,2.22
satellite.pddl.0p_4a_5d.0,pfile9,1,28,7.27596e-12,3.537
satellite.pddl.0p_4a_5d.0,pfile10,1,32,4.54747e-13,4.235
satellite.pddl.0p_5a_0d.0,pfile1,1,9,0.00195312,0.202
satellite.pddl.0p_5a_0d.0,pfile2,1,19,3.8147e-06,0.296
satellite.pddl.0p_5a_0d.0,pfile3,1,12,0.000244141,0.309
satellite.pddl.0p_5a_0d.0,pfile4,1,23,1.19209e-07,0.561
satellite.pddl.0p_5a_0d.0,pfile5,1,19,3.8147e-06,0.755
satellite.pddl.0p_5a_0d.0,pfile6,1,21,4.76837e-07,0.776
satellite.pddl.0p_5a_0d.0,pfile7,1,32,2.32831e-10,1.917
satellite.pddl.0p_5a_0d.0,pfile8,1,30,1.86265e-09,2.031
satellite.pddl.0p_5a_0d.0,pfile9,1,31,4.65661e-10,2.801
satellite.pddl.0p_5a_0d.0,pfile10,1,37,2.91038e-11,4.315
satellite.pddl.0p_5a_1d.0,pfile1,1,9,0.00195312,0.543
satellite.pddl.0p_5a_1d.0,pfile2,1,13,0.00012207,0.261
satellite.pddl.0p_5a_1d.0,pfile3,1,11,0.000488281,0.356
satellite.pddl.0p_5a_1d.0,pfile4,1,21,9.53674e-07,0.573
satellite.pddl.0p_5a_1d.0,pfile5,1,21,9.53674e-07,1.832
satellite.pddl.0p_5a_1d.0,pfile6,1,28,1.49012e-08,2.887
satellite.pddl.0p_5a_1d.0,pfile7,1,36,5.82077e-11,2.431
satellite.pddl.0p_5a_1d.0,pfile8,1,31,9.31323e-10,2.789
satellite.pddl.0p_5a_1d.0,pfile9,1,40,7.27596e-12,4.84
satellite.pddl.0p_5a_1d.0,pfile10,1,38,7.27596e-12,4.392
satellite.pddl.0p_5a_2d.0,pfile1,1,8,0.000488281,0.196
satellite.pddl.0p_5a_2d.0,pfile2,1,15,4.76837e-07,0.251
satellite.pddl.0p_5a_2d.0,pfile3,1,11,3.05176e-05,0.302
satellite.pddl.0p_5a_2d.0,pfile4,1,17,1.19209e-07,0.383
satellite.pddl.0p_5a_2d.0,pfile5,1,17,1.19209e-07,0.586
satellite.pddl.0p_5a_2d.0,pfile6,1,19,1.49012e-08,0.572
satellite.pddl.0p_5a_2d.0,pfile7,1,22,3.72529e-09,0.979
satellite.pddl.0p_5a_2d.0,pfile8,1,26,5.82077e-11,1.891
satellite.pddl.0p_5a_2d.0,pfile9,1,27,7.27596e-12,2.167
satellite.pddl.0p_5a_2d.0,pfile10,1,31,1.13687e-13,2.308
satellite.pddl.0p_5a_3d.0,pfile1,1,8,0.000244141,0.184
satellite.pddl.0p_5a_3d.0,pfile1,2,9,0.000488281,6.168
satellite.pddl.0p_5a_3d.0,pfile1,3,8,0.000976562,10.85
